Name,PA,IP,Primary.WAR,Total.WAR,Position,Salary.y
Sean Kazmar Jr.,2,NA,-0.0781912803649902,-0.1,NA,NA
Ryne Harper,NA,35.2,-0.0567895658314228,-0.1,NA,NA
Elvis Peguero,NA,2.1,-0.0801240354776382,-0.1,NA,NA
Jack Lopez,16,NA,-0.0819149687886238,-0.1,NA,NA
Stuart Fairchild,17,NA,-0.0828397423028946,-0.1,NA,NA
Bryse Wilson,NA,74,0.0667793415486813,-0.1,NA,NA
Preston Guilmet,NA,2,-0.0853368416428566,-0.1,NA,NA
Ronnie Dawson,6,NA,-0.087461531162262,-0.1,NA,NA
Jaylin Davis,9,NA,-0.0886179581284523,-0.1,NA,NA
Humberto Arteaga,4,NA,-0.0896358788013458,-0.1,NA,NA
Spenser Watkins,NA,54.2,-0.0897624641656876,-0.1,NA,NA
Trevor Hildenberger,NA,2.1,-0.0897984281182289,-0.1,NA,NA
Josh Rogers,NA,35.2,0.0077184783294796,-0.1,NA,NA
Alex Blandino,82,NA,-0.0100006582215428,-0.1,NA,NA
Alexander Wells,NA,42.2,-0.0927084907889366,-0.1,NA,NA
Kyle Lobstein,NA,1.1,-0.0930284410715103,-0.1,NA,NA
Scott Hurst,5,NA,-0.0958638489246368,-0.1,NA,NA
Taylor Gushue,4,NA,-0.0977449789643288,-0.1,NA,NA
Daniel Zamora,NA,4.1,-0.0988494604825974,-0.1,NA,NA
Yohan Ramirez,NA,27.2,-0.0992589071393013,-0.1,NA,NA
Reiss Knehr,NA,29,-0.0133838597685099,-0.1,NA,NA
Daz Cameron,115,NA,-0.100415177643299,-0.1,NA,NA
Ryan Vilade,7,NA,-0.101432524621487,-0.1,NA,NA
Julian Fernandez,NA,6.2,-0.101619221270084,-0.1,NA,NA
Enyel De Los Santos,NA,35.1,-0.101685801288113,-0.1,NA,NA
Jason Foley,NA,10.1,-0.101789593696594,-0.1,NA,NA
Austin Pruitt,NA,7.1,-0.103211402893066,-0.1,NA,NA
Shawn Morimando,NA,10.1,-0.0714389383792877,-0.1,NA,NA
Justin Steele,NA,57,-0.10366003960371,-0.1,NA,NA
Brad Brach,NA,30,-0.109385453164577,-0.1,NA,NA
Ralph Garza,NA,30.1,-0.109445743262768,-0.1,NA,NA
Kutter Crawford,NA,2,-0.10959829390049,-0.1,NA,NA
Brian O'Grady,61,NA,-0.110058009624481,-0.1,NA,NA
Miguel Diaz,NA,42,-0.0782182663679123,-0.1,NA,NA
Luke Williams,108,NA,-0.111389629542828,-0.1,NA,NA
Ryan Meisinger,NA,7.1,-0.112164825201035,-0.1,NA,NA
Ian Gibaut,NA,6.2,-0.113336302340031,-0.1,NA,NA
Luke Farrell,NA,24.2,-0.114490911364555,-0.1,NA,NA
Thomas Eshelman,NA,27.2,-0.103611133992672,-0.1,NA,NA
Aaron Northcraft,NA,8,-0.115159466862679,-0.1,NA,NA
Vinny Nittoli,NA,1,-0.115388989448547,-0.1,NA,NA
Reid Detmers,NA,20.2,-0.151273056864738,-0.1,NA,NA
Ben Rowen,NA,11.1,-0.116353794932365,-0.1,NA,NA
Jay Flaa,NA,2.2,-0.116732739028521,-0.1,NA,NA
Michael Rucker,NA,28.1,-0.105844356119633,-0.1,NA,NA
Junior Fernandez,NA,20.2,-0.106824435293674,-0.1,NA,NA
Janson Junk,NA,16.1,-0.118471406400204,-0.1,NA,NA
Wade LeBlanc,NA,49,0.0187044218182564,-0.1,NA,NA
Manny Barreda,NA,2.2,-0.121284946799278,-0.1,NA,NA
Austin Brice,NA,13.2,-0.121978767216206,-0.1,NA,NA
Nick Martini,45,NA,-0.122171550989151,-0.1,NA,NA
